src,dst,port
fin-dev-web01-priv.segmentationpov.com,fin-dev-app01-priv.segmentationpov.com,8080
fin-dev-app01-priv.segmentationpov.com,fin-dev-db01-priv.segmentationpov.com,3306
fin-dev-app01-priv.segmentationpov.com,fin-prd-db02-priv.segmentationpov.com,3306
fin-prd-web01-priv.segmentationpov.com,fin-prd-app01-priv.segmentationpov.com,8080
fin-prd-web01-priv.segmentationpov.com,fin-prd-app02-priv.segmentationpov.com,8080
fin-prd-web01-priv.segmentationpov.com,fin-prd-app03-priv.segmentationpov.com,8080
fin-prd-web02-priv.segmentationpov.com,fin-prd-app01-priv.segmentationpov.com,8080
fin-prd-web02-priv.segmentationpov.com,fin-prd-app02-priv.segmentationpov.com,8080
fin-prd-web02-priv.segmentationpov.com,fin-prd-app03-priv.segmentationpov.com,8080
fin-prd-web03-priv.segmentationpov.com,fin-prd-app01-priv.segmentationpov.com,8080
fin-prd-web03-priv.segmentationpov.com,fin-prd-app02-priv.segmentationpov.com,8080
fin-prd-web03-priv.segmentationpov.com,fin-prd-app03-priv.segmentationpov.com,8080
fin-prd-app01-priv.segmentationpov.com,fin-prd-db01-priv.segmentationpov.com,3306
fin-prd-app01-priv.segmentationpov.com,fin-prd-db02-priv.segmentationpov.com,3306
fin-prd-app02-priv.segmentationpov.com,fin-prd-db01-priv.segmentationpov.com,3306
fin-prd-app02-priv.segmentationpov.com,fin-prd-db02-priv.segmentationpov.com,3306
fin-prd-app03-priv.segmentationpov.com,fin-prd-db01-priv.segmentationpov.com,3306
fin-prd-app03-priv.segmentationpov.com,fin-prd-db02-priv.segmentationpov.com,3306
fin-prd-db01-priv.segmentationpov.com,fin-prd-db02-priv.segmentationpov.com,3306
fin-prd-db02-priv.segmentationpov.com,fin-prd-db01-priv.segmentationpov.com,3306
hrm-dev-web01-priv.segmentationpov.com,hrm-dev-app01-priv.segmentationpov.com,8080
hrm-dev-app01-priv.segmentationpov.com,hrm-dev-db01-priv.segmentationpov.com,3306
hrm-dev-app01-priv.segmentationpov.com,hrm-prd-db02-priv.segmentationpov.com,3306
hrm-prd-web01-priv.segmentationpov.com,hrm-prd-app01-priv.segmentationpov.com,8080
hrm-prd-web01-priv.segmentationpov.com,hrm-prd-app02-priv.segmentationpov.com,8080
hrm-prd-web01-priv.segmentationpov.com,hrm-prd-app03-priv.segmentationpov.com,8080
hrm-prd-web02-priv.segmentationpov.com,hrm-prd-app01-priv.segmentationpov.com,8080
hrm-prd-web02-priv.segmentationpov.com,hrm-prd-app02-priv.segmentationpov.com,8080
hrm-prd-web02-priv.segmentationpov.com,hrm-prd-app03-priv.segmentationpov.com,8080
hrm-prd-web03-priv.segmentationpov.com,hrm-prd-app01-priv.segmentationpov.com,8080
hrm-prd-web03-priv.segmentationpov.com,hrm-prd-app02-priv.segmentationpov.com,8080
hrm-prd-web03-priv.segmentationpov.com,hrm-prd-app03-priv.segmentationpov.com,8080
hrm-prd-app01-priv.segmentationpov.com,hrm-prd-db01-priv.segmentationpov.com,3306
hrm-prd-app01-priv.segmentationpov.com,hrm-prd-db02-priv.segmentationpov.com,3306
hrm-prd-app02-priv.segmentationpov.com,hrm-prd-db01-priv.segmentationpov.com,3306
hrm-prd-app02-priv.segmentationpov.com,hrm-prd-db02-priv.segmentationpov.com,3306
hrm-prd-app03-priv.segmentationpov.com,hrm-prd-db01-priv.segmentationpov.com,3306
hrm-prd-app03-priv.segmentationpov.com,hrm-prd-db02-priv.segmentationpov.com,3306
hrm-prd-db01-priv.segmentationpov.com,hrm-prd-db02-priv.segmentationpov.com,3306
hrm-prd-db02-priv.segmentationpov.com,hrm-prd-db01-priv.segmentationpov.com,3306
