src,dst,port
fin-dev-web01.lot48labs.com,fin-dev-app01.lot48labs.com,8080
fin-dev-app01.lot48labs.com,fin-dev-db01.lot48labs.com,3306
fin-dev-app01.lot48labs.com,fin-prd-db02.lot48labs.com,3306
fin-prd-web01.lot48labs.com,fin-prd-app01.lot48labs.com,8080
fin-prd-web01.lot48labs.com,fin-prd-app02.lot48labs.com,8080
fin-prd-web01.lot48labs.com,fin-prd-app03.lot48labs.com,8080
fin-prd-web02.lot48labs.com,fin-prd-app01.lot48labs.com,8080
fin-prd-web02.lot48labs.com,fin-prd-app02.lot48labs.com,8080
fin-prd-web02.lot48labs.com,fin-prd-app03.lot48labs.com,8080
fin-prd-web03.lot48labs.com,fin-prd-app01.lot48labs.com,8080
fin-prd-web03.lot48labs.com,fin-prd-app02.lot48labs.com,8080
fin-prd-web03.lot48labs.com,fin-prd-app03.lot48labs.com,8080
fin-prd-app01.lot48labs.com,fin-prd-db01.lot48labs.com,3306
fin-prd-app01.lot48labs.com,fin-prd-db02.lot48labs.com,3306
fin-prd-app02.lot48labs.com,fin-prd-db01.lot48labs.com,3306
fin-prd-app02.lot48labs.com,fin-prd-db02.lot48labs.com,3306
fin-prd-app03.lot48labs.com,fin-prd-db01.lot48labs.com,3306
fin-prd-app03.lot48labs.com,fin-prd-db02.lot48labs.com,3306
fin-prd-app01.lot48labs.com,se32db01.lot48labs.com,3306
fin-prd-app02.lot48labs.com,se32db01.lot48labs.com,3306
fin-prd-app03.lot48labs.com,se32db01.lot48labs.com,3306
fin-prd-db01.lot48labs.com,fin-prd-db02.lot48labs.com,3306
fin-prd-db02.lot48labs.com,fin-prd-db01.lot48labs.com,3306
hrm-dev-web01.lot48labs.com,hrm-dev-app01.lot48labs.com,8080
hrm-dev-app01.lot48labs.com,hrm-dev-db01.lot48labs.com,3306
hrm-dev-app01.lot48labs.com,hrm-prd-db02.lot48labs.com,3306
hrm-prd-web01.lot48labs.com,hrm-prd-app01.lot48labs.com,8080
hrm-prd-web01.lot48labs.com,hrm-prd-app02.lot48labs.com,8080
hrm-prd-web01.lot48labs.com,hrm-prd-app03.lot48labs.com,8080
hrm-prd-web02.lot48labs.com,hrm-prd-app01.lot48labs.com,8080
hrm-prd-web02.lot48labs.com,hrm-prd-app02.lot48labs.com,8080
hrm-prd-web02.lot48labs.com,hrm-prd-app03.lot48labs.com,8080
hrm-prd-web03.lot48labs.com,hrm-prd-app01.lot48labs.com,8080
hrm-prd-web03.lot48labs.com,hrm-prd-app02.lot48labs.com,8080
hrm-prd-web03.lot48labs.com,hrm-prd-app03.lot48labs.com,8080
hrm-prd-app01.lot48labs.com,hrm-prd-db01.lot48labs.com,3306
hrm-prd-app01.lot48labs.com,hrm-prd-db02.lot48labs.com,3306
hrm-prd-app02.lot48labs.com,hrm-prd-db01.lot48labs.com,3306
hrm-prd-app02.lot48labs.com,hrm-prd-db02.lot48labs.com,3306
hrm-prd-app03.lot48labs.com,hrm-prd-db01.lot48labs.com,3306
hrm-prd-app03.lot48labs.com,hrm-prd-db02.lot48labs.com,3306
hrm-prd-db01.lot48labs.com,hrm-prd-db02.lot48labs.com,3306
hrm-prd-db02.lot48labs.com,hrm-prd-db01.lot48labs.com,3306
